pair,date,high,low,open,close,volume
USDT_BTC,1609369200,28911.52,28630,28704,28875.54,62873049.72
USDT_BTC,1609372800,29300,28869.78,28875.55,29120.51,161042717.9
USDT_BTC,1609376400,29177.41,28120.67,29120.5,28743.57,199886526.6
USDT_BTC,1609380000,28792.76,28600.38,28743.58,28720.49,54720917.34
USDT_BTC,1609383600,29147.75,28711.06,28720.48,29024,74760530.72
USDT_BTC,1609387200,29185,28824.61,29024.01,29028.35,80326404.95
USDT_BTC,1609390800,29031.66,28738.1,29028.34,28972.2,62353309.31
USDT_BTC,1609394400,29074.22,28849.5,28972.2,28859.01,61619103.59
USDT_BTC,1609398000,29285,28859.02,28859.02,29155.25,93052548.87
USDT_BTC,1609401600,29210.83,28780,29155.24,28926.31,97673627.75
USDT_BTC,1609405200,29067.82,28580,28926.32,28989.99,85246205.99
USDT_BTC,1609408800,29168.37,28960.17,28989.99,29136.49,59164675.19
USDT_BTC,1609412400,29140,28888.43,29136.49,28910.3,62354769.67
USDT_BTC,1609416000,28989.03,28400,28910.29,28617.6,128561483.6
USDT_BTC,1609419600,28635.9,27850,28617.65,28519,218204970.1
USDT_BTC,1609423200,28523.47,28111.25,28519.25,28371.51,102605271.7
USDT_BTC,1609426800,28840.26,28369.53,28371.52,28770,108642922.3
USDT_BTC,1609430400,28822.59,28311,28782.01,28380.6,84889969.85
USDT_BTC,1609434000,28723.68,28362,28382.47,28571.97,69604052.89
USDT_BTC,1609437600,28898,28424.56,28571.97,28872.25,74095956.49
USDT_BTC,1609441200,29000,28742.41,28872.24,28897.83,66289233.16
USDT_BTC,1609444800,29139.65,28862,28897.84,29126.7,56103301.54
USDT_BTC,1609448400,29169.55,28900.79,29126.71,28966.36,73351462.94
USDT_BTC,1609452000,29143.73,28910.19,28966.36,29100.84,41807122.89
USDT_BTC,1609455600,29110.35,28780,29100.83,28923.63,57243040.07
USDT_BTC,1609459200,29031.34,28690.17,28923.63,28995.13,66768830.34
USDT_BTC,1609462800,29470,28960.35,28995.13,29409.99,158357816.8
USDT_BTC,1609466400,29465.26,29120.03,29410,29194.65,69842653.67
USDT_BTC,1609470000,29367,29150.02,29195.25,29278.4,42760776.73
USDT_BTC,1609473600,29395,29029.4,29278.41,29220.31,59614637.3
USDT_BTC,1609477200,29235.28,29084.11,29220.31,29187.01,42864538.7
USDT_BTC,1609480800,29270,29077.32,29187.01,29174.35,41446013.02
USDT_BTC,1609484400,29191.98,28806.54,29174.35,29092.83,69034619.09
USDT_BTC,1609488000,29178.03,28872.24,29092.84,29000.01,58274190.7
USDT_BTC,1609491600,29307.73,28970,29000.01,29202.21,59006512.26
USDT_BTC,1609495200,29344.97,29152.88,29202.21,29223.82,56881923.88
USDT_BTC,1609498800,29402.57,29212.44,29223.82,29313.49,67680909.41
